index	label	sentence	pos	v_index	definition
b1g-fragment02 1175	0	Let us hope that G1S can, in some small way, help mitigate the suffering and hardship felt by all those afflicted by the effects of hazards which, as we have learnt with bitter recent experience in the UK, can occur in an untimely fashion in the most improbable of places.	VERB	0	To allow to, not to prevent .
a38-fragment01 34	0	Even if lead levels in the atmosphere do not bother you, I am sure you will find the fact that unleaded petrol is 15p cheaper, and that diesel fuel boosts mpg by at least a third, most interesting.	VERB	9	To annoy, to disturb, to irritate.
ccw-fragment03 1640	0	Precautions will not conquer empires, they will not build great cities, they will not transmute dreams into gold or carry men across wide oceans, and precautions will not, emphatically not, win fair ladies, and here he turned to Ellen and lasciviously dropped his gaze to her long bare legs.	VERB	36	To make a non-linear physical movement.
cdb-fragment02 361	1	They were expensive to buy and came a day late.	VERB	6	To move from further away to nearer to.
ahf-fragment63 1226	0	Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day, the official statement announced.	VERB	5	To communicate knowledge to.
amm-fragment02 1664	0	The outline of the soft parts are also clearly displayed, so that the animal has been preserved almost in frozen motion.	VERB	16	To protect; to keep from harm or injury.
a1f-fragment10 179	0	Given the already appalling and growing rate of homelessness and lack of hostel facilities in London, when more people than ever will not only have to endure the freezing nights of the coming winter on the streets, but perhaps permanent homelessness, it was terrible to see the situation being exploited for a joke by your advertisement: Just the thing now the evenings are drawing in.	VERB	45	To perceive or detect someone or something with the eyes, or as if by sight.
fpb-fragment01 1207	0	Elinor was sometimes at a loss for the right word, or name, and then became impatient with herself; she was often frustrated because she couldn't move as swiftly as she did before.	VERB	14	begin to be; turn into.
kbw-fragment11 4178	0	We seem to have got one spare video if we don't get it watched before Wednesday.	VERB	11	To obtain; to acquire.
b1g-fragment02 1091	0	Fortunately, technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades.	VERB	4	To make a pledge to ; to promise, guarantee ; to assure.
g0l-fragment01 377	0	He laughed.	VERB	1	To show mirth, satisfaction, or derision, by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat; to indulge in laughter.
kbw-fragment17 6281	0	and it does mean that they can relax you know about work and everything	VERB	9	To perceive the truth or factuality of; to be certain of or that.
kb7-fragment10 2253	0	You know I mean other than that, no I mean it it's not as if	VERB	1	To perceive the truth or factuality of; to be certain of or that.
fpb-fragment01 1371	0	She was in hospital for six weeks, and I was the only one who knew it wasn't an accident.	VERB	14	To perceive the truth or factuality of; to be certain of or that.
clp-fragment01 745	1	Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course.	VERB	20	To get.
a7y-fragment03 203	0	It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied.	VERB	41	To restore to good working order, fix, or improve damaged condition; to mend; to remedy.
g0l-fragment01 218	0	They didn't want the Yanks stumbling in and screwing up in an attempt to force the issue.	VERB	2	To wish for or desire ; to feel a need or desire for; to crave or demand.
kcf-fragment14 1434	0	And don't forget we're going down the fracture clinic Alison!	VERB	2	To lose remembrance of.
cb5-fragment02 3261	0	I'm afraid it's true, Mrs Carson told them.	VERB	6	To narrate.
kbw-fragment04 2695	0	You're going to watch Rosie and Jim dear.	VERB	3	To look at, see, or view for a period of time.
kbh-fragment02 236	0	Charlotte please don't talk with your mouth full, there's a good girl.	INTJ	1	please
kbw-fragment42 14920	0	When we've had half a whole, I'm thinking half a whole	VERB	7	To ponder, to go over in one's head.
ea7-fragment03 846	0	He became Robert of Jerusalem to his contemporaries; his deeds were recorded in the Song of Antioch; his pious bravery totally expunged the memory of Robert the Frisian's usurpation; and after his death his son Baldwin VII harped on his father's achievement to justify his substantial use of coercion against the enemies of the church.	VERB	43	To provide an acceptable explanation for.
ab9-fragment03 986	1	You are letting this disappointment and that's all it is, you're still a very well-off young woman get in the way of everything.	VERB	2	To allow to, not to prevent .
fet-fragment01 79	0	Under his arm he carried a folded newspaper with that day's headline: PEACE MOTHER DIES.	VERB	4	To lift  and take it to another place; to transport  by lifting.
kcv-fragment42 4497	0	Eating eating all day long overlap	NOUN	5	Something that overlaps or is overlapped
a6u-fragment02 173	1	While the first wave of popular interest arose with the 1982 Whitechapel exhibition instigated by Laura Mulvey and Peter Wollen, it was the publication of Hayden Herrera's biography of Kahlo in 1983 which has led to her current cult status.	VERB	7	To come up from a lower to a higher position.
amm-fragment02 1629	1	Since many kinds of trilobites co-existed at any one time they were probably occupying different ecological niches, behaving in different ways, corresponding with the wide variation in shape that they show.	VERB	13	To take or use.
kcu-fragment02 2115	0	So I said er but I know you're off to Torquay on Friday with Di, cos that's him hinting, thank God it's out!	VERB	6	To perceive the truth or factuality of; to be certain of or that.
fpb-fragment01 1101	0	You never want to make a man the centre of your existence.	VERB	2	To wish for or desire ; to feel a need or desire for; to crave or demand.
b1g-fragment02 1157	0	In these circumstances, it is scarcely surprising that there is evidence of international and interdisciplinary dispute, as Terney( 1989) has chronicled in regard to IGBP.	VERB	20	To record in or as in a chronicle.
clp-fragment01 762	0	Those not involved find it difficult to gain very much from a presentation of a task description.	VERB	2	To comprise or include; to have as a related part.
kcc-fragment02 41	1	We goes up town the following week then to get and I forget what I was looking for, oh it was I was looking for your blouse	VERB	5	To go after; to pursue; to move behind in the same path or direction, especially with the intent of catching.
kb7-fragment10 2148	0	I mean I did have some of the boxes in there until I sort of, thought while I was sorting things out.	VERB	1	To intend.
ac2-fragment06 1507	1	But I can understand how you feel.	VERB	6	To use or experience the sense of touch.
c8t-fragment01 40	0	It was, he judged, almost twenty feet long and obviously served the triple purpose of sitting room, working place and office.	VERB	3	To sit in judgment on; to pass sentence on.
c8t-fragment01 48	1	Was it the faint smell of herbs and newly baked dough, the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall, the rhythmic moaning of the sea through the half-open door, the sense of well-fed ease conveyed by the two cushioned armchairs, the open hearth?	VERB	29	To grasp or grip.
a1n-fragment18 345	1	Had either of the teams won, they would have taken the League leadership.	VERB	9	To get into one's hands, possession, or control, with or without force.
ew1-fragment01 56	1	Law conceived of the role of the leader in an exactly opposite sense from Balfour: he sought to foster unity by placing himself at the head of the discordant elements where Balfour had thrown the leadership on the side of restraint.	VERB	16	To try to find; to look for; to search for.
a7s-fragment03 67	0	He described being taken over the years to see his sick, and finally dying and almost certainly innocent father in another prison.	VERB	8	To perceive or detect someone or something with the eyes, or as if by sight.
kbw-fragment42 15064	0	daddy	NOUN	0	Father.
cb5-fragment02 3198	0	She sat down and prepared to wait as long as was necessary.	VERB	4	To make ready for a specific future purpose; to set up; to assemble or equip.
ahc-fragment60 1246	1	A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the folds of the moors.	VERB	8	To stop.
amm-fragment02 1642	1	It turns out that our animal was able to see in almost every direction upwards, downwards, sideways and forwards, and even backwards, because the eyes bulged out beyond the line of the rest of the body.	VERB	1	To make a non-linear physical movement.
clp-fragment01 746	0	The techniques just described are no more than guidelines in what remains the creative art of studying and describing what an experienced worker is doing or will be required to do.	VERB	11	To stay behind while others withdraw; to be left after others have been removed or destroyed
kb7-fragment10 2249	0	I mean I'm not saying he's alcoholic but he goes out with the lads and he you know he'll he'll sort of thud up the stairs.	VERB	17	To perceive the truth or factuality of; to be certain of or that.
a1h-fragment05 75	1	Like many young American composers he studied with Nadia Boulanger, but after 1925 set out to achieve the discipline of spontaneity which he found in Stein's writings.	VERB	23	To encounter or discover by accident; to happen upon.
fpb-fragment01 1086	0	As Gilda held out her glass to be refilled, she added reflectively, Although you seem more lonely than horny.	VERB	14	To appear; to look outwardly; to be perceived as.
a9j-fragment01 25	0	Harsh measures putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques can either create a temporary lull or activate an eruption.	VERB	19	
b1g-fragment02 1093	0	Moreover, the advent of low-cost, high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power: a CD-ROM, for instance, can hold about 600 megabytes( i.e. 10&sup6; bytes), can be reproduced currently for about ̴�1 and read on a device costing about ̴�400.	NOUN	14	A punch for setting nails in wood.
ahb-fragment51 752	1	We want everyone to be licensed, but the Government didn't think it necessary.	VERB	10	To ponder, to go over in one's head.
kbw-fragment42 14782	0	It doesn't matter what?	VERB	2	To be important.
a1g-fragment26 389	0	DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany.	VERB	19	To bring into a group, class, set, or total as a  part or member.
ac2-fragment06 1424	0	He doesn't know the inside track any more than Klepner.	VERB	2	To perceive the truth or factuality of; to be certain of or that.
a4d-fragment02 111	0	However, Caithness himself stated that this first selection was in no way a definitive list	VERB	3	To declare to be a fact.
kbp-fragment09 3773	0	You could feel the atmosphere when you were sat in the car.	VERB	8	To be in a position in which the upper body is upright and supported by the buttocks.
kbh-fragment02 274	0	Catch it, one two three catch it, one two three.	VERB	0	To capture, overtake.
kbp-fragment09 3901	0	I thought	VERB	1	To ponder, to go over in one's head.
a1p-fragment03 70	0	As for his colleagues, Mr Smith said: We're all agreed that we can not spend what we have not earned and we intend to earn it before we spend it.	VERB	24	To gain  through applied effort or work.
c8t-fragment01 42	1	In the centre of the room was a large wooden table holding a stoneware jar of dried flowers.	VERB	11	To grasp or grip.
bpa-fragment14 2179	0	Nell would never rest until she could get closer to confirm her worst suspicions, and paradoxically it was the woman in her that provided the intensity of emotion that would let nothing stand in her way.	VERB	23	To make a living; earn money for necessities.
amm-fragment02 1762	1	It is difficult to see how the compact feet of the sauropod could avoid becoming stuck fast in the soft, muddy bottom of a lake.	VERB	4	To perceive or detect someone or something with the eyes, or as if by sight.
kbw-fragment04 2632	0	It's just that I can actually hear it.	VERB	6	To perceive sounds through the ear.
a8n-fragment19 320	1	Oldham took up the attack again and Barlow, who had a fine match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.	VERB	18	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
ac2-fragment06 1394	0	Notwithstanding current problems which they discussed lightly, it had all been wonderful.	VERB	5	To converse or debate concerning a particular topic.
b1g-fragment02 904	0	An argument by many atmospheric physicists, for example, is that shortcomings in the accuracy of weather prediction over periods of more than a few days largely results from the unsophisticated nature of existing models, the lack of suitable data and inadequate computer power( see Fig. 9.3, derived from Tyler 1989).	VERB	43	To perceive or detect someone or something with the eyes, or as if by sight.
ahb-fragment51 705	0	Property: Don't let yourself in for trouble Choosing the right agent is essential if you want to rent your property.	VERB	17	To occupy premises in exchange for rent.
b1g-fragment02 1532	1	First, attention should be drawn to the new directive from the Department of Health to regional and district health authorities to review the health of the population.	VERB	4	To move or develop something.
as6-fragment02 387	1	But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational, uncivilized, and criminal instincts.	VERB	7	To stay behind while others withdraw; to be left after others have been removed or destroyed
kbw-fragment11 4197	0	And she said he has to go trotting to Exeter two or three times a week now.	VERB	2	To pronounce.
ccw-fragment03 1671	0	He glanced at the paint pot and brush that I was still holding.	VERB	1	To look briefly .
b1g-fragment02 1061	0	No other data collection methodology obviates the short distance variation in data sets induced by variations in data collection and aggregation methodology typically encountered between adjacent nation states.	VERB	5	To anticipate and prevent or bypass .
b1g-fragment02 1018	0	The unavoidable reliance upon existing data sets led to many problems due to non-harmonization even of commonly used variables, e.g. eight different definitions of potential evapo-transpiration were in use in the Member States and maximum temperature at each weather station was defined in at least four different ways;	VERB	7	To cover, fill, or affect with lead
ahf-fragment24 586	0	Meadowell has even discovered a new martyr in the shape of one Willy Hunter, a local hard nut awaiting trial for murder, and allegedly the victim of a police frame-up.	VERB	18	To wait for.
kbd-fragment07 2293	0	Oh I need some	VERB	2	To have an absolute requirement for.
kbw-fragment04 2468	1	Why they keep on making new bulbs?	VERB	4	To create.
kbh-fragment02 159	0	What else do I need?	VERB	4	To have an absolute requirement for.
kbd-fragment07 2709	0	Anyway, so erm he said, but you know he was saying to them that er, it's not just at the bottom end, he said, in our village in Wales we've got the Sun have now positioned two reporters who have lived in the village the these they sit in a car outside his house day and night	VERB	4	To pronounce.
kbw-fragment11 4112	0	I've told you what we're gon na for Christopher haven't I?	VERB	1	To narrate.
kbc-fragment13 5876	1	Well well he hasn't got a father so he regards you doesn't he?	VERB	4	To obtain; to acquire.
ab9-fragment03 1014	0	Francis Morgan stood and stared at them, and even before the man stepped forward steadily, hand extended, mouth opening to speak, he understood who they were and what they had come to tell him.	VERB	30	To move from further away to nearer to.
fpb-fragment01 1215	0	The doorbell sounded.	VERB	2	To produce a sound.
as6-fragment02 387	1	But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational, uncivilized, and criminal instincts.	VERB	25	To provide an impetus for motion or other physical change, to move an object by means of the provision of force thereto.
kbp-fragment09 3673	0	I thought it would be	VERB	1	To ponder, to go over in one's head.
b1g-fragment02 1467	0	For instance, one hypothesis concerns the role of electromagnetic radiation, a source of which is overhead high-voltage transmission lines as noted earlier.	VERB	4	To relate or belong to; to have reference to or connection with; to affect the interest of; to be of importance to.
ac2-fragment06 1469	1	The only thing you can be sure of is that US interest will always come first.	VERB	14	To move from further away to nearer to.
alp-fragment01 94	0	Probably the best illustration of the assisting method in action during the course comes in the fifth session when Somerset practitioners take the logic of working with the problem in the community to its ultimate conclusion.	VERB	6	To help.
ab9-fragment03 1013	0	The man, a stocky, greying fifty-year-old in a navy raincoat over a suit, his hair cut short, was attended by a uniformed policewoman, hair smartly set under the cap, her eyes watchful in the wide, flat, placid face, and both of them were standing square and stolid.	VERB	25	To put  down, to rest.
g0l-fragment01 48	0	Sorge looked round the table, saw their undisguised curiosity.	VERB	1	To try to see, to pay attention to with one’s eyes.
ea7-fragment03 836	1	They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles.	VERB	1	To propose or express one's willingness .
ahb-fragment51 725	0	Last week he promised to supply us with a written explanation of the way his company had treated Debbie, but it never arrived.	VERB	3	To commit to , or to assure  of such commitment; to make an oath or vow.
kbw-fragment17 5989	1	Cos we've got the AGM in two weeks time	VERB	2	To obtain; to acquire.
kbc-fragment13 6004	0	Well I reckon she lived er a couple of years after the stroke Gordon.	VERB	4	To be alive; to have life.
kbp-fragment09 3851	0	But now yeah it took him a while to calm down but he's a very nice fellow now, very nice chap.	VERB	9	To make calm.
kbp-fragment09 4105	1	Drawing, oh well!	NOUN	0	A picture, likeness, diagram or representation, usually drawn on paper.
kcf-fragment14 1283	0	Yeah but, I mean, people are allowed now to put their own in aren't they?	VERB	9	To place something somewhere.
a1j-fragment34 545	0	I can not honestly see that a system which would require us to compromise the morning after the election is really so morally inferior to a system which has already obliged us to compromise our policies two years before polling day.	VERB	10	To demand, to insist upon ; to call for authoritatively.
al0-fragment06 184	1	Since 1986 Rytasha has broken awayfrom her guru and set up on her own with a charity called Food Relief International, which raises money from the fiercely competitive matrons of Palm Beach and distributes it to the starving people of Bangladesh.	VERB	4	To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly.
ea7-fragment03 820	1	A royal banner now bestowed respectability on a cause; kings' wars were assumed to be for the sake of peace, even when cripplingly expensive and increasingly savage.	VERB	4	To lay up in store; deposit for safe keeping; to stow or place; to put something somewhere.
cdb-fragment02 456	1	The house that when he first saw it had seemed to float on a raft of golden mist, now lay in a wilderness, amidst ragged grass and straggling bushes and trees dead from the heat.	VERB	19	To place down in a position of rest, or in a horizontal position.
ahb-fragment51 716	1	Finally, after the third month passed with no rent received, Debbie phoned the tenants, asked them to pay her directly, and sent Landlords a recorded-delivery letter, which was returned, and finally one by ordinary post stating that Landlords were no longer employed as the managing agents.	VERB	5	To change place.
crs-fragment01 6	1	This chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were encountered.	VERB	27	To meet  or find , especially unexpectedly.
as6-fragment01 12	0	The 1964 Labour Government was elected on a tide of impatience at the slackening pace of social reform, but also of optimism that little more than economic growth, fuelled by technological change, was needed to remove the main causes of urban deprivation( MacGregor, 1981).	VERB	33	To have an absolute requirement for.
fpb-fragment01 1180	1	After being given clearance to land, Miranda, following her instructor's directions, started her approach; she throttled back to reduce speed and control her descent as she flew towards the threshold the point just before she intended to touch down.	VERB	2	To move, shift, provide something abstract or concrete to someone or something or somewhere.
crs-fragment01 84	0	The findings were documented in a report A Place For All Our Children( CCUF 1983) and an analysis was prepared of the practical and bureaucratic problems in gaining an ordinary childcare place for a child with special needs, with suggestions for how these might be overcome.	VERB	27	To acquire possession of.
cb5-fragment02 3376	0	I promise.	VERB	1	To commit to , or to assure  of such commitment; to make an oath or vow.
a1f-fragment06 144	0	Sir: I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold on( 30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.	VERB	41	To deliberately not listen or pay attention to.
kbd-fragment07 2260	1	Anything goes fast after Friday.	VERB	1	To move:
a8r-fragment02 56	0	The process becomes demand driven by the user.	VERB	2	begin to be; turn into.
a1n-fragment18 363	1	Davis, of course, would have walked into England's team in Poland a week on Wednesday; until last season's prolonged suspension, followed by injury, Bobby Robson had him firmly pencilled in as Bryan Robson's replacement.	VERB	5	To move on the feet by alternately setting each foot  forward, with at least one foot on the ground at all times. Compare run.
cdb-fragment02 403	0	The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area.	VERB	16	To give warning to.
fpb-fragment01 1222	0	She says the Colonel's taken up petit point, and Miss Hawkins is teaching him.	VERB	4	To get into one's hands, possession, or control, with or without force.
a7s-fragment03 52	0	Yet given what we have learned about links between the security services and the Loyalist paramilitaries in Northern Ireland, and the deep suspicion about surrogate murders, you can't shrug off the shiver Conlon's words bring.	NOUN	31	The act of shivering.
a1e-fragment01 3	0	IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a fatal error in the preparation of his ̴�697m break-up bid for stationery and packaging group DRG.	VERB	1	To appear; to look outwardly; to be perceived as.
bpa-fragment14 2244	1	I think we owe it to that pathetic creature in there.	VERB	3	To be under an obligation to give something back to someone or to perform some action for someone.
b1g-fragment02 1193	0	Each of these may be further subdivided and the typology shown in Fig. 10.1 draws upon the classic work of Burton and Kates( 1964) in separating geophysical from biological hazards and Zeigler et al.( 1983) in distinguishing public( or what we might call societal) hazards from private( individual) ones.	VERB	6	To divide into smaller sections.
a7s-fragment03 51	1	You might have assumed this was the police bluffing and bullying.	VERB	3	To authenticate by means of belief; to surmise; to suppose to be true, especially without proof
kbj-fragment17 1525	0	Have you got	VERB	2	To obtain; to acquire.
a1h-fragment06 133	0	Keller was made a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water courses around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.	VERB	30	To appear; to look outwardly; to be perceived as.
as6-fragment01 99	1	The increased scale of operations also ushered in another fashion of the 1980s new management structures.	VERB	6	To guide people to their seats.
as6-fragment01 30	1	This mixture, heated by recession and high unemployment, inevitably generates a high level of crime.	VERB	2	To cause an increase in temperature of ; to cause to become hot .
cb5-fragment02 3222	0	There's Sean O'Farrell and the master left in a hurry this hour past for New York City, both without a bite inside them and now you.	VERB	6	To have a consequence or remnant.
ab9-fragment03 976	1	It was Grizel Huntley's own view that her brother had not been fooled at all but had been charmed and diverted by a dashing girl thirty years his junior, and had seen no reason at all why she should not have a share of his considerable estate when that left a very decent down-setting for his niece as well.	VERB	20	To turn aside from a course.
kbh-fragment02 133	0	She keeps kicking her legs and going, ah, ah.	VERB	2	To strike or hit with the foot or other extremity of the leg.
ew1-fragment01 83	1	A new canvass system was introduced in 1911 so that all county constituencies would operate the same system and so that duplicate records could be kept at area level.	VERB	5	To cause  to be acquainted .
fet-fragment01 8	1	He sat down and saw a bifurcated path, simmering with gold heat round and under the rising, spreading blue-black-green down-pointing vanes of a great pine, still widening where the frame interrupted its soaring.	VERB	17	To stretch out, open out  so that it more fully covers a given area of space.
b1g-fragment02 1431	0	Additional algorithms are used to model total building damage costs for each grid cell based on water-depth and speed-depth rating curves.	VERB	5	to display for others to see, especially in regard to wearing clothing while performing the role of a fashion model
a9j-fragment01 39	1	Its significance lies in its double message: that the aim of the Palestinian struggle is the establishment of Palestinian independence, and that this independence is regarded as being not at Israel's expense.	VERB	25	To look at; to observe.
a1m-fragment01 35	0	Henning Albrechsten reckons that it takes three years for a telecottage to be able to function without subsidy.	VERB	15	To have a function.
kbw-fragment42 15012	0	the rain came down and the floods came up and the house on the rocks slid down, but the foolish man built his house upon the sand, the foolish man built his house upon the sand, the foolish man built his house upon the sand and the rain came tumbling down	VERB	21	To form  by combining materials or parts.
a1j-fragment34 550	0	Mr Hattersley said giving disproportionate power to small, minority centre parties would not improve democracy.	VERB	2	To pronounce.
kcu-fragment02 1576	0	You don't get nothing on them chickens?	VERB	2	To obtain; to acquire.
a9j-fragment01 25	1	Harsh measures putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques can either create a temporary lull or activate an eruption.	VERB	61	To encourage development or induce increased activity; to stimulate.
b1g-fragment02 1217	0	In the UK( see Petts 1988 for a splendid overview) the Health and Safety Executive must be notified of sites where hazardous substances in excess of threshold limits are handled.	VERB	3	To perceive or detect someone or something with the eyes, or as if by sight.
a2d-fragment05 37	0	The John Wayne stereotype was rejected, along with his conservative values, he said.	VERB	5	To refuse to accept.
amm-fragment02 1755	0	Most of the popular books showing the Mesozoic giants in their natural setting portray them wallowing about in swamps flanked by deep vegetation, their bodies largely under water.	VERB	15	To roll oneself about in something dirty, for example in mud.
a3c-fragment05 228	0	The people of Munich call their version of Weissbier breakfast beer and have it with a pair of coddled veal sausages.	VERB	4	To use one's voice.
clp-fragment01 885	0	Often the manual has to be provided hurriedly at the end of a project when the budget is running out, and it is regarded as a tiresome chore still required after the essential design work has been completed.	VERB	6	To make a living; earn money for necessities.
a3e-fragment03 41	0	Trellis is a useful compromise and you can always pretend it was forced on you by the speed of growth of your climbing rose.	VERB	9	To claim, to allege, especially when falsely or as a form of deliberate deception.
kbw-fragment17 6209	0	But her mum I mean I know	VERB	6	To perceive the truth or factuality of; to be certain of or that.
acj-fragment01 5	0	For practical purposes, the culpable causing of another person's death may fairly be regarded as the most serious offence in the criminal calendar.	NOUN	5	causing
kbd-fragment07 2604	0	Top of the Pops stuff doesn't, in the sense that people who like to go and see live music don't people who like that kind of music prefer the prefer it in a	VERB	27	To be in the habit of choosing something rather than something else; to favor; to like better.
b1g-fragment02 865	0	Since we are not yet able to predict all the interactions which may be important in a study of environmental problems, collecting potentially useful data as well as those believed central to the problem under study is often wise;	VERB	21	To gather together; amass.
kbp-fragment09 3844	0	Cup of tea, turn the car round and go back.	VERB	3	To make a non-linear physical movement.
al0-fragment06 186	0	She went on to list her daughter's achievements: She put in an irritation system	VERB	9	To place something somewhere.
kbw-fragment17 6285	1	Yeah haven't got to worry.	VERB	4	To be troubled; to give way to mental anxiety or doubt.
kbd-fragment07 2307	0	it's gon na have to be erm erm dub dub wurgh wurgh erm tt I can get a delivery on Thursday, I need, we need a delivery on Thursday anyway	VERB	1	gon
kbh-fragment02 119	0	Listen, go away She doesn't say go away very much now.	VERB	5	To pronounce.
g0l-fragment01 302	1	They never stopped being Germans.	VERB	2	To cease moving.
a1x-fragment03 158	1	This problem has spread to the UK.	VERB	3	To stretch out, open out  so that it more fully covers a given area of space.
kbw-fragment42 14937	0	Seemed to have got rather a lot of margarine on there, hope you're going to eat all your toast today, not like yesterday	VERB	15	To ingest; to be ingested.
